,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
3443, C Class,2016,Automatic,25334,Petrol,2.0,1,0,0,0,0,0,0,1,18999
3444, C Class,2014,Automatic,34032,Diesel,2.1,1,0,0,0,1,0,0,0,16499
3445, C Class,2010,Manual,54000,Diesel,2.1,0,1,0,0,1,0,0,0,7995
3446, C Class,2015,Automatic,54000,Petrol,2.0,1,0,0,0,0,0,0,1,13790
3447, C Class,2015,Automatic,34000,Diesel,2.1,1,0,0,0,1,0,0,0,15490
3448, C Class,2011,Automatic,66000,Diesel,2.1,1,0,0,0,1,0,0,0,8495
3449, C Class,2013,Automatic,124000,Diesel,2.1,1,0,0,0,1,0,0,0,7199
3450, C Class,2018,Automatic,18000,Petrol,4.0,1,0,0,0,0,0,0,1,42995
3451, C Class,2015,Automatic,64765,Diesel,2.1,1,0,0,0,1,0,0,0,17695
3452, C Class,2017,Automatic,25286,Petrol,3.0,1,0,0,0,0,0,0,1,36995
3453, C Class,2013,Manual,109447,Diesel,2.1,0,1,0,0,1,0,0,0,7000
3454, C Class,2013,Automatic,64498,Diesel,2.1,1,0,0,0,1,0,0,0,10490
3455, C Class,2017,Automatic,16750,Diesel,2.1,1,0,0,0,1,0,0,0,21750
3456, C Class,2019,Automatic,10051,Diesel,2.0,1,0,0,0,1,0,0,0,25995
3457, C Class,1991,Automatic,170000,Petrol,3.0,1,0,0,0,0,0,0,1,4450
3458, C Class,2002,Automatic,52700,Petrol,2.0,1,0,0,0,0,0,0,1,2140
3459, C Class,2009,Automatic,60000,Diesel,2.1,1,0,0,0,1,0,0,0,6995
3460, C Class,2015,Automatic,56000,Petrol,4.0,1,0,0,0,0,0,0,1,29990
3461, C Class,2016,Automatic,45000,Diesel,2.1,1,0,0,0,1,0,0,0,14000
3462, C Class,2017,Automatic,30676,Diesel,2.1,1,0,0,0,1,0,0,0,22767
3463, C Class,2015,Automatic,40005,Diesel,2.1,1,0,0,0,1,0,0,0,12000
3464, C Class,2011,Automatic,55657,Diesel,2.1,1,0,0,0,1,0,0,0,9000
3465, C Class,2015,Automatic,91639,Petrol,4.0,1,0,0,0,0,0,0,1,24500
3466, C Class,2015,Manual,64219,Diesel,2.1,0,1,0,0,1,0,0,0,13300
3467, C Class,2015,Automatic,67889,Hybrid,2.1,1,0,0,0,0,1,0,0,15275
3468, C Class,2013,Automatic,24000,Petrol,1.6,1,0,0,0,0,0,0,1,13995
3469, C Class,2008,Automatic,90000,Diesel,2.1,1,0,0,0,1,0,0,0,4995
3470, C Class,2016,Automatic,45000,Diesel,2.1,1,0,0,0,1,0,0,0,14000
3471, C Class,2017,Automatic,30676,Diesel,2.1,1,0,0,0,1,0,0,0,22767
3472, C Class,2015,Automatic,40005,Diesel,2.1,1,0,0,0,1,0,0,0,12000
3473, C Class,2017,Automatic,20894,Petrol,4.0,1,0,0,0,0,0,0,1,46950
3474, C Class,2016,Automatic,51700,Hybrid,2.0,1,0,0,0,0,1,0,0,16950
3475, C Class,2016,Automatic,100000,Hybrid,2.0,1,0,0,0,0,1,0,0,12795
3476, C Class,2015,Manual,84830,Petrol,2.0,0,1,0,0,0,0,0,1,11500
3477, C Class,2020,Automatic,6000,Diesel,2.0,1,0,0,0,1,0,0,0,34495
3478, C Class,2020,Automatic,6000,Diesel,2.0,1,0,0,0,1,0,0,0,30990
3479, C Class,2018,Automatic,10945,Diesel,2.0,1,0,0,0,1,0,0,0,23899
3480, C Class,2019,Automatic,10454,Diesel,2.0,1,0,0,0,1,0,0,0,25890
3481, C Class,2018,Automatic,27563,Diesel,2.1,1,0,0,0,1,0,0,0,17750
3482, C Class,2019,Automatic,13733,Petrol,1.5,1,0,0,0,0,0,0,1,24190
3483, C Class,2019,Automatic,5534,Diesel,2.0,1,0,0,0,1,0,0,0,28290
3484, C Class,2016,Automatic,30954,Petrol,2.0,1,0,0,0,0,0,0,1,15249
3485, C Class,2019,Automatic,3061,Petrol,2.0,1,0,0,0,0,0,0,1,32950
3486, C Class,2019,Automatic,7126,Petrol,1.5,1,0,0,0,0,0,0,1,26190
3487, C Class,2017,Automatic,45437,Hybrid,2.0,1,0,0,0,0,1,0,0,17890
3488, C Class,2017,Automatic,20000,Diesel,2.1,1,0,0,0,1,0,0,0,20990
3489, C Class,2015,Automatic,34000,Diesel,2.1,1,0,0,0,1,0,0,0,17990
3490, C Class,2014,Automatic,48100,Petrol,1.6,1,0,0,0,0,0,0,1,10990
3491, C Class,2017,Automatic,30676,Diesel,2.1,1,0,0,0,1,0,0,0,22767
3492, C Class,2016,Automatic,28000,Diesel,2.1,1,0,0,0,1,0,0,0,16000
3493, C Class,2016,Automatic,36095,Diesel,2.1,1,0,0,0,1,0,0,0,19750
3494, C Class,2019,Automatic,10444,Diesel,2.0,1,0,0,0,1,0,0,0,35880
3495, C Class,2017,Automatic,41539,Diesel,2.1,1,0,0,0,1,0,0,0,21980
3496, C Class,2017,Automatic,26844,Diesel,2.1,1,0,0,0,1,0,0,0,22980
3497, C Class,2016,Automatic,18389,Petrol,3.0,1,0,0,0,0,0,0,1,32980
